view_count,tag_count,video_id
18651241,16,rhTl_OyehF8
18579725,41,80WvAnsHOdM
18534845,42,JSAfPh1A25E
18527946,2,bzSAjQZXDOE
18523523,31,Xmxcnf2v_gs
18518319,1,w-wH2__-bhs
18472322,19,5UMCrq-bBCg
18410971,17,0IOsk2Vlc4o
18408097,29,U6ClQ5ileBs
18384787,1,uuyVtofI0Ks
18372068,1,oD155zWANQg
18366233,27,CTmKrwFu7wg
18351917,29,60g72d4Nqss
18292211,29,UB4FzllQCyc
18262744,22,M7xQEdKHtv0
18230651,24,BoWyTKiS6TM
18212753,51,MXFkjMNXfpY
18208396,5,5RBASmjDpqE
18196612,30,uBY1AoiF5Vo
18193138,18,9sJ_I1lHpps
18191934,1,bHXejJq5vr0
18176423,22,0ir1qkPXPVM
18162257,8,5GJWxDKyk3A
18072967,52,nlnMDttgTbk
18048651,4,bTtNV6hgDno
18044557,1,zLrWIgkvoB0
18024646,33,XxlsLmHwCSk
18017191,7,H1aZ-myEqyc
18002795,15,0xSFPome3Tc
17992692,25,CWCMGIG1Y54
17964006,42,rZYxzen9uEA
17913780,2,5WfTEZJnv_8
17883340,26,ZjLU7eZZeQg
17856316,1,IyEBRZsLZc8
17839207,15,Z37_jKEtRwY
17838122,1,6LmO6rmDW08
17827533,21,irsLfoFb-W0
17808881,17,r-vQJJzhW_U
17794433,1,M03wT8AjyXc
17749652,1,ZVpiaYQnxHE
17739942,21,nxs0RHpT_Hg
17732285,32,yQEondeGvKo
17691627,34,u3FuK5X_dRU
17653012,35,Il0S8BoucSA
17588843,14,drtIS8JMlQc
17564143,18,1t0iJ7F_k9Q
17535207,18,v7bnOxV4jAc
17529712,1,SBA-lqC58D8
17487325,9,zI383uEwA6Q
17486074,13,UoI9riNffEU
17483424,38,PEKkdIT8JPM
17477983,32,4P9XUrniiK4
17426711,12,IZ0oQ6nzKxo
17406692,31,cnXapYkboRQ
17404958,27,7ouFkoU8Ap8
17350449,25,Pc2Hl2w_7qM
17341729,26,p5CTvyIfBxI
17304278,1,3c584TGG7jQ
17233674,1,Xqamnbm-ZLA
17199557,1,pXDx6DjNLDU
17182034,12,G7ONrDab6cU
17159345,1,U1vgbF4aH6k
17145350,2,qZVTkn2NjS0
17109387,24,_0MXhG1shEc
17083241,20,HEp392y7cqw
17075631,34,z4t9LLq1Nk0
17063026,25,n4fXmZTVdZg
17058177,1,Hc1Pm3kJu4M
17043025,1,47r8FXYZWNU
17032138,27,nsMhMQfD0V0
17009761,1,saub5mRjEvg
